Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45
2015-07-01,4006,8633,123201,4980,4041,1926257,43702,18873,82196,92230,70376,23999,68787,80701,57697,22448,52337,18013,9097,41578,210988,8541,19172,46368,184211,48833,17003,17114,60472,46096,25136,34174,80714,86374,16626,691,4728,2179,2771,1739,21584,1630,22851,13591,1762
2015-07-02,3987,9622,127831,5827,4185,1912542,41226,18918,77901,81233,61282,23971,65071,81780,58358,22659,52659,18121,8920,49070,218106,8787,14265,48253,176358,46469,17442,15157,49644,44153,27697,33720,114711,89509,15049,818,5248,2125,3237,1734,20102,1512,22944,13057,1929
2015-07-03,3815,6151,106947,5087,4117,1837137,36638,18903,66355,71355,58353,23889,64998,80010,56190,28003,50290,16713,9146,43882,260848,8231,12523,49638,172146,39106,16176,13905,41237,39998,23944,37032,108992,94295,16310,619,4655,1903,2770,1176,20077,1453,21132,13243,2299
2015-07-04,3641,4748,84551,4302,3585,1787445,31140,15432,61061,88166,58589,25842,64787,74241,55300,22287,46268,18282,8122,42132,221550,8092,16383,74527,181774,52436,16933,12779,44371,42055,26991,75491,93827,160554,28449,622,4188,1855,2535,666,21139,1417,23805,13922,1607
2015-07-05,3282,5397,87116,4323,3671,1803558,42891,17868,78686,86078,57347,27701,75558,84669,62757,30071,58622,24341,9886,48983,234399,8462,11388,76250,201776,61343,16189,14828,51658,48756,31410,48857,83711,116633,24389,784,5426,2064,3002,779,22610,1521,22422,14290,1694
2015-07-06,3647,6233,125690,5376,4238,1929884,54265,23386,77720,87730,63809,31173,81477,90341,69081,41643,62058,21178,8742,56004,241341,8024,12839,58813,189225,49899,16492,14631,43704,46621,40740,39783,135485,115466,17826,1157,6231,2522,4064,1840,22644,1593,23764,13497,1771
2015-07-07,14745,7069,131207,5729,4256,1914593,51876,33311,78940,84907,62705,36086,74570,93959,76782,53318,63455,20437,8915,48848,210173,8229,11482,50565,168990,45103,20100,15464,40656,42222,24719,36030,194845,103008,17616,1057,6698,2516,4125,1872,21805,1669,22434,12862,1784
2015-07-08,4073,6180,131932,5934,4408,1890084,50309,30364,110723,80256,63123,57463,72108,92973,90571,35000,60872,21886,8766,54541,201744,7994,10842,53054,162891,47923,19367,13454,44051,43692,27754,35281,69984,109979,20256,1000,5854,2219,3523,1740,22797,1727,23273,12315,1698
2015-07-09,3988,6812,123150,5217,3974,1878105,47448,25217,86034,78775,67948,30371,71803,100172,112639,27210,56700,21990,8737,48350,199053,7753,10191,52260,163735,52674,23779,21773,43172,41416,21321,34033,53025,116647,19982,696,4426,1971,3175,1681,23888,1796,23043,13772,1957
2015-07-10,4226,5782,113290,5344,4035,1861712,44303,20715,63334,69205,113691,33566,86371,109523,113202,30861,50390,21594,8529,55597,195254,8973,11120,51862,161682,44762,22993,15863,37347,40586,19452,40473,57581,128476,17904,1038,5024,2167,3028,1569,27705,1601,22906,14724,2348
